"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Bagnoli di Sopra";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.1886111";"11.8859444";
"Battaglia Terme";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2881296";"11.7931296";
"Bovolenta";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2720443";"11.9370378";
"Candiana";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2220370";"11.9901666";
"Due Carrare";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2935978";"11.8191407";
"Cartura";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2693888";"11.8578148";
"Conselve";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2318888";"11.8748518";
"Monselice";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2395286";"11.7503996";
"Pernumia";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2584268";"11.7889653";
"San Pietro Viminario";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2443888";"11.8173518";
"Terrassa Padovana";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2450000";"11.9037592";
"Tribano";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2088320";"11.8310910";
"Bagnoli di Sopra";"Friularo di Bagnoli Classico";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.1886111";"11.8859444";
"Annone Veneto";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7940990";"12.6835270";
"Cinto Caomaggiore";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8300185";"12.7836111";
"Gruaro";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8326666";"12.8461111";
"Fossalta di Portogruaro";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7923770";"12.9086360";
"Pramaggiore";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8153148";"12.7372037";
"Teglio Veneto";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8154010";"12.8846050";
"Caorle";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5948518";"12.8707962";
"Concordia Sagittaria";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7569180";"12.8443170";
"Portogruaro";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7750301";"12.8378287";
"San Michele al Tagliamento";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7641516";"12.9949504";
"San Stino di Livenza";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7315843";"12.6836963";
"Meduna di Livenza";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8068888";"12.6148518";
"Motta di Livenza";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7775000";"12.6087592";
"Chions";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8453333";"12.7132962";
"Cordovado";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8432962";"12.8834444";
"Pravisdomini";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8200000";"12.6931481";
"Azzano Decimo";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8817530";"12.7147050";
"Morsano al Tagliamento";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8626666";"12.9307962";
"Sesto al Reghena";"Lison";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8466040";"12.8154210";
"Portogruaro";"Lison Classico";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7750301";"12.8378287";
"Pramaggiore";"Lison Classico";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8153148";"12.7372037";
